_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67797b4d9894964293effec9,,15.84,82.69,26.56,29.8,31;5;0;0,words,10,-1,0,23.49,4,0,false,false,english,none,normal,false,false,false,,1736014669000
6779799b9894964293efef2a,,13.97,79.59,21.18,19.84,31;5;0;0,words,10,-1,0,26.63,6,0,false,false,english,none,normal,false,false,false,,1736014235000
677979799894964293efedec,,16.46,96.15,16.46,35.57,50;0;0;0,words,10,-1,0,36.46,5,0,false,false,english,none,normal,false,false,false,,1736014201000
677979439894964293efebc6,,52.24,93.22,52.24,59.77,55;0;0;0,words,10,-1,0,12.63,0,0,false,false,english,none,normal,false,false,false,,1736014147000
677979349894964293efeb38,,55.64,86.67,55.64,60.86,52;0;0;0,words,10,-1,0,11.21,0,0,false,false,english,none,normal,false,false,false,,1736014132000
677979199894964293efea30,,50.25,91.38,58.81,64.34,47;1;0;0,words,10,-1,3,11.22,0,8.38,false,false,english,none,normal,false,false,false,,1736014105000
677978fb9894964293efe91d,,44.54,87.69,44.54,61.62,57;0;0;0,words,10,-1,3,15.36,0,13.46,false,false,english,none,normal,false,false,false,,1736014075000
677978a19894964293efe5d0,,57.7,95.16,57.7,65.66,57;0;0;0,words,10,-1,7,11.85,0,33.93,false,false,english,none,normal,false,false,false,,1736013985000
677978549894964293efe343,,73.22,98.11,73.22,72.5,52;0;0;0,words,10,-1,0,8.52,0,0,false,false,english,none,normal,false,false,false,,1736013908000
67795b9d9894964293eeb8e3,,46.35,87.67,46.35,52.97,63;0;0;0,words,10,-1,4,16.31,0,16.66,false,false,english,none,normal,false,false,false,,1736006557000
67795b759894964293eeb702,,51.49,87.69,51.49,68.89,57;0;0;0,words,10,-1,0,13.28,0,0,false,false,english,none,normal,false,false,false,,1736006517000
67795b439894964293eeb4c4,,56.03,92.16,61.01,71.49,45;1;0;0,words,10,-1,2,9.64,0,1.56,false,false,english,none,normal,false,false,false,,1736006467000
67795b319894964293eeb3f4,,57.36,95.74,57.36,66.98,45;0;0;0,words,10,-1,1,9.41,0,1.71,false,false,english,none,normal,false,false,false,,1736006449000
677957e59894964293ee9131,,61.69,97.62,61.69,71.78,41;0;0;0,words,10,-1,0,7.98,0,0,false,false,english,none,normal,false,false,false,,1736005605000
677957af9894964293ee8f19,,48.93,92.06,48.93,69.64,58;0;0;0,words,10,-1,0,14.22,0,0,false,false,english,none,normal,false,false,false,,1736005551000
6779579f9894964293ee8e68,,53.49,95.08,53.49,66.85,58;0;0;0,words,10,-1,0,13.01,0,0,false,false,english,none,normal,false,false,false,,1736005535000
6779578b9894964293ee8da8,,54.81,91.38,54.81,71.03,53;0;0;0,words,10,-1,0,11.6,0,0,false,false,english,none,normal,false,false,false,,1736005515000
6779577d9894964293ee8d1f,,55.12,94.23,55.12,69.96,48;0;0;0,words,10,-1,0,10.45,0,0,false,false,english,none,normal,false,false,false,,1736005501000
6779576f9894964293ee8c87,,27.9,86.21,27.9,44.72,49;0;0;0,words,10,-1,2,21.07,0,2.36,false,false,english,none,normal,false,false,false,,1736005487000
67793aaf9894964293ed56f9,,51.84,87.27,57.48,75.43,46;2;0;0,words,10,-1,0,10.65,0,0,false,false,english,none,normal,false,false,false,,1735998127000
67793aa29894964293ed5688,,57.84,94.23,57.84,69.96,49;0;0;0,words,10,-1,0,10.17,0,0,false,false,english,none,normal,false,false,false,,1735998114000
67793a979894964293ed560c,,49.11,90.16,49.11,73.11,54;0;0;0,words,10,-1,0,13.2,0,0,false,false,english,none,normal,false,false,false,,1735998103000
67793a889894964293ed556f,,49.74,94.83,49.74,77.92,55;0;0;0,words,10,-1,1,13.27,0,0.46,false,false,english,none,normal,false,false,false,,1735998088000
67793a779894964293ed54c6,,42.16,90.63,47.03,65.36,52;1;1;0,words,10,-1,1,14.8,0,1.11,false,false,english,none,normal,false,false,false,,1735998071000
67793a629894964293ed53e3,,62.19,98.15,62.19,70.61,53;0;0;0,words,10,-1,1,10.23,0,0.34,false,false,english,none,normal,false,false,false,,1735998050000
67793a549894964293ed535d,,49.39,86.44,49.39,53.83,50;0;0;0,words,10,-1,0,12.15,0,0,false,false,english,none,normal,false,false,false,,1735998036000
67793a459894964293ed52cc,,53.86,87.76,53.86,63.51,43;0;0;0,words,10,-1,0,9.58,0,0,false,false,english,none,normal,false,false,false,,1735998021000
